Company,Note,Type,Opt-out Phone Number,Opt-out Link
Comcast/Xfinity,,telecom,,https://pc2.mypreferences.com/Comcast/OptOut/Default.aspx
Best Buy,,retailer,,https://www.bestbuy.com/site/privacy-policy/faqs/pcmcat246200050011.c?id=pcmcat246200050011
Spokeo,Remove your personal info,PSE,,https://www.spokeo.com/optout
Whitepages,Remove your personal info,PSE,,https://www.whitepages.com/suppression_requests
Fisher House,Unsubscribe from magazine,charity,,https://fisherhouse.org/news-media/fisher-house-magazine-the-patriot/unsubscribe/
Truth Finder,Remove your personal info,PSE,,https://www.truthfinder.com/opt-out/
Digital Advertising Alliance,Partners with IBAs,,,https://optout.aboutads.info/?c=2&lang=EN
Opt-out prescreened credit card offers,Choice of five years or permanent,,,https://github.com/paxperscientiam/stop-the-bleeping-junkmail/blob/master/www.optoutprescreen.com
Progressive,Must call in (sucks),insurer,1-855-266-8485,
Emily's List,Call or email,PAC,1-202-326-1400,https://emilyslist.zendesk.com/hc/en-us/articles/360005487152-I-d-like-to-receive-less-physical-mail-from-EMILY-s-List-
First Nations Development Institute,,charity,,https://www.firstnations.org/privacy-policy/
Old Navy,,retailer,,https://secure-oldnavy.gap.com/my-account/unsubscribe
FamilyTreeNow,Remove your personal info,PSE,,https://www.familytreenow.com/optout
BeenVerified,Remove your personal info,PSE,,https://www.beenverified.com/app/optout/search
MyLife.com,Remove your personal info,PSE,,https://www.mylife.com/ccpa/index.pubview
Valassis/Vericast/save.com,Unsubscribe from mail,,,https://valassis.com/opt-out/
Carshield,Unsubscribe from mail,insurer,,https://carshield.com/help-support/opt-out/
Carshield,Unsubscribe from email,insurer,,https://carshield.com/unsubscribe/
FastPeopleSearch,Remove your personal info,PSE,https://www.fastpeoplesearch.com/removal/searc
